feature	accession_number	experiment_file	control_file
H3K9me3	GSE18371	H3K9me3_GSE18371.fastq.bed.sorted.bam	input_GSE18371.fastq.bed.sorted.bam
H3K9me3	GSE31039	H3K9me3_GSE31039.fastq.bed.sorted.bam	input_GSE31039.fastq.bed.sorted.bam
H3K9me3	GSE32218	H3K9me3_GSE32218.fastq.bed.sorted.bam	input_GSE32218.fastq.bed.sorted.bam
H3K9me3	GSE47894	H3K9me3_GSE47894.fastq.bed.sorted.bam	input_GSE47894.fastq.bed.sorted.bam
H4K20me3	GSE12241	H4K20me3_GSE12241.fastq.bed.sorted.bam	input_GSE12241_GSE11172.fastq.bed.sorted.bam
HCFC1	GSE36030	HCFC1_GSE36030.fastq.bed.sorted.bam	input_GSE36030.fastq.bed.sorted.bam
HDAC1	GSE27841	HDAC1_GSE27841.fastq.bed.sorted.bam	input_GSE27841.fastq.bed.sorted.bam
HDAC2	GSE27841	HDAC2_GSE27841.fastq.bed.sorted.bam	input_GSE27841.fastq.bed.sorted.bam
HDAC3	GSE116480	HDAC3_GSE116480.fastq.bed.sorted.bam	input_GSE116480.fastq.bed.sorted.bam
KDM2A	GSE40860	KDM2a_GSE40860.fastq.bed.sorted.bam	input_GSE40860.fastq.bed.sorted.bam
KDM2B	GSE37930	KDM2b_GSE37930.fastq.bed.sorted.bam	input_GSE37930.fastq.bed.sorted.bam
KDM2B	GSE40860	KDM2b_GSE40860.fastq.bed.sorted.bam	input_GSE40860.fastq.bed.sorted.bam
KLF4	GSE11431	KLF4_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
LAMINB	GSE28247	LAMINB_GSE28247.fastq.bed.sorted.bam	input_GSE28247.fastq.bed.sorted.bam
LSD1	GSE18515	LSD1_GSE18515.fastq.bed.sorted.bam	input_GSE18515.fastq.bed.sorted.bam
LSD1	GSE27841	LSD1_GSE27841.fastq.bed.sorted.bam	input_GSE27841.fastq.bed.sorted.bam
MAFK	GSE36030	MAFK_GSE36030.fastq.bed.sorted.bam	input_GSE36030.fastq.bed.sorted.bam
MAX	GSE48175	MAX_GSE48175.fastq.bed.sorted.bam	input_GSE48175.fastq.bed.sorted.bam
MED1	GSE22562	MED1_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
MED12	GSE22562	MED12_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
MI2B	GSE27841	MI2B_GSE27841.fastq.bed.sorted.bam	input_GSE27841.fastq.bed.sorted.bam
MLL2	GSE48172	MLL2_GSE48172.fastq.bed.sorted.bam	input_GSE48172.fastq.bed.sorted.bam
NANOG	GSE11724	NANOG_GSE11724.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
NANOG	GSE44286	NANOG_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
NIPBL	GSE22562	NIPBL_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
NMYC	GSE11431	NMYC_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
